Unnamed: 0,Text,Type
8669,18일,DT
3878,영남,LC
6973,베이징,LC
3571,오대산,LC
5782,미국,LC
3007,지미 롤린스,PS
392,카를로스 테베스,PS
3877,중부,LC
3827,첫날,DT
1610,전남,OG
6101,강남,LC
128,오후 1시,TI
7578,여상규,PS
2017,오리역,LC
1681,최종은,PS
511,2006년,DT
4150,한겨레,OG
4768,강릉,LC
9071,한국,LC
5516,도립미술관,OG
8892,25일,DT
2326,탄천,LC
7078,밀양시,LC
8878,한국신용정보평가,OG
9948,28일,DT
9410,22일,DT
2821,한국,LC
7997,UC학생정책부,OG
58,오늘,TODAY
4488,평촌,LC
4896,고려대,OG
2057,구채구,LC
540,두산,OG
1484,맨체스터 시티,OG
6067,U20 청소년 대표팀,OG
4250,미국,LC
6386,민주당,OG
620,전날,DT
8490,삼성전자,OG
8166,LG,OG
471,서울,OG
7085,이명박,PS
5141,박보영,PS
4191,정부,OG
9178,경찰,OG
10149,SK이노베이션,OG
3988,한국,LC
8561,인토외식사업,OG
1800,지난해,DT
9065,2012년 1월,DT
9855,마쓰다,OG
9571,다음달부터,DT
4072,1월1일,DT
4937,leejy96,PS
8780,나우콤,OG
6992,8일,DT
8497,토요타,OG
7784,오후,TI
8049,SKC,OG
1314,FC 서울,OG
2355,스노우보드학교,OG
92,오늘,TODAY
6546,장미,PS
5407,한국,LC
1276,카메룬,LC
3280,미투데이,OG
5835,SCIS,OG
9864,미국,LC
3110,이운재,PS
6688,낮,TI
2898,실용음악과,OG
4387,구,PS
5572,토요일,DT
8281,서울대학교,OG
9043,오광수,PS
9617,크림반도,LC
1287,유소연,PS
2254,바랑산,LC
4416,아산병원,OG
7351,고아성,PS
8713,오는 28일,DT
442,박석민,PS
3659,꿈이있는자유,PS
8909,유네스코,OG
8989,유인촌,PS
8991,김홍철,PS
7,내일,TOMM
8203,유로존,LC
2060,황룡,LC
1531,노원험멜,OG
5436,이윤구,PS
3740,하이닉스반도체,OG
5722,송,PS
141,6일,DT
5417,이참,PS
7939,인천,LC
4794,공정거래위원회,OG
9216,삼성전자,OG
7148,19일,DT
5148,금요일,DT
3392,국민신당,OG
7184,마산시,LC
9705,ICE,OG
4598,80년,DT
6494,내곡,LC
2773,정부,OG
4905,일본,LC
2296,범석,PS
4125,징계위원회,OG
5105,공공구매위반신고센터,OG
9361,임마누엘 오프리 안사,PS
2523,면목동,LC
4541,행복나누미,OG
3340,성지루,PS
4137,내년,DT
7863,건축위원회,OG
2601,여의도,LC
1273,스포츠서울닷컴,OG
4995,총무기획팀,OG
2338,한강,LC
8964,대구,LC
10036,치악산,LC
5577,월요일,DT
1662,두산,OG
1760,리마,PS
8184,5월,DT
1856,NBA,OG
898,이멜만,PS
1087,김광현,PS
2882,송진우,PS
6565,한나라당,OG
7387,김현철,PS
9366,요코하마고교,OG
1475,청주,LC
6086,강,PS
7216,민주노동당,OG
8472,올해 1분기,DT
5507,안상수,PS
7848,2010-02-24,DT
5923,준지,OG
4772,대구,LC
3197,스포츠호치,OG
4265,12일,DT
4717,타나메라CC,LC
2442,(주)구성산업개발,OG
4818,3 1절 연휴,DT
3164,카림 가르시아,PS
8972,우리금융지주,OG
9812,미국,LC
1052,김상록,PS
8680,이윤호,PS
3889,이,PS
4620,하중동,LC
9203,베트남,LC
388,한국,LC
9772,펩시콜라,OG
4140,1963년,DT
6262,국립 농수산물관리원,OG
263,올 시즌,DT
2937,16일,DT
10187,보광티에스,OG
3716,지난해부터,DT
4095,강원,LC
7739,대학원,OG
8898,30일,DT
9454,28일,DT
2429,KOREA,LC
6810,카라,PS
3440,2년 동안,DT
9245,NYT,OG
3262,메이저리그,OG
1543,이병규,PS
5482,17일,DT
10090,외환은행,OG
1438,네드베트,PS
10,내일,TOMM
2432,서울,LC
5074,2006년,DT
4482,국제통화기금,OG
8784,시큐브,OG
9604,6일부터,DT
6615,세종시,LC
7943,북,LC
1780,롯데,OG
1342,고양 국민은행,OG
10076,대구,LC
5548,박재현,PS
2605,용평리조트,OG
2247,응봉산,LC
3469,2010년,DT
3,5년,DT
4005,세종시,LC
10203,현대삼호중공업,OG
945,박주영,PS
702,석진욱,PS
6563,윤,PS
5052,17일,DT
2012,수도권,LC
1761,2007년,DT
2524,잠실,LC
4515,소비자원,OG
1369,2008,DT
5581,설 연휴,DT
7037,세계야생생물기금,OG
1932,버튼,OG
6717,제니퍼 베리,PS
8312,독일,LC
1186,3년,DT
8445,CJ게임즈,OG
4947,하버파크호텔,OG
7780,달,LC
753,성남,OG
4442,한진택배,OG
6330,김교성,PS
2626,식사,LC
6834,김민정,PS
2668,토끼굴,LC
8282,자연과학대학,OG
1969,5월달,DT
4809,제주도,LC
1849,표명일,PS
152,김태균,PS
1451,오는 5월,DT
2121,서해,LC
9592,국토해양부,OG
4156,울산,LC
6514,심상정,PS
4742,24일,DT
9733,3개월,DT
8479,NHN(주),OG
5934,오전,TI
4195,2008년,DT
1848,삼성,OG
9183,미국,LC
2325,수서,LC
6374,김양호,PS
2511,도평리,LC
5158,2008년 3월,DT
8709,양재동,LC
4406,송시헌,PS
57,지난해,DT
4822,한해,DT
7527,경기청,OG
8277,원남면,LC
9977,플렉스컴,OG
9066,한국,LC
4367,강준만,PS
7599,민주당,OG
10021,파쇼나블,OG
1149,첼시,OG
1499,차붐,PS
9471,인천국제공항,LC
10098,파리바게뜨,OG
6240,류재림,PS
1073,현대 백화점 부산점,OG
4993,5월12일~30일,DT
3056,미들즈브러,OG
6280,양구여중,OG
5888,고아성,PS
8876,14일,DT
5449,남구청,OG
8529,눈높이,OG
9384,지난 3일,DT
4469,유성구,LC
28,오늘,TODAY
2875,이규원,PS
8706,오전 9시,TI
4615,금년,DT
4485,재건축추진위,OG
582,영국,LC
562,오는 5월,DT
8174,우리투자증권,OG
7630,일본,LC
7694,3년간,DT
2802,미국,LC
7277,선진당,OG
857,곽희주,PS
8797,미국,LC
9320,8년 전,DT
7883,송도 지식산단,LC
9290,지난해,DT
9438,한중외교장관 회담,OG
5286,우이천,LC
7013,문화일보,OG
2202,이 준형,PS
300,지난 시즌,DT
7097,권경석,PS
2271,장가계,LC
7306,평가위원회,OG
9420,미국,LC
8678,KT,OG
1084,인천,LC
5669,4년,DT
5554,자작나무숲,OG
1526,이규섭,PS
6659,MBC,OG
1883,1879년,DT
9180,검찰,OG
6863,조선기,PS
7081,경남도,LC
9381,오세규,PS
11,캐시 러시,PS
5904,민수,PS
3573,내년,DT
4408,최은영,PS
6653,AP 통신,OG
3983,국방부,OG
7782,한국문화복지협의회,OG
1005,프리미어리그,OG
3160,WTA,OG
4486,올해,DT
9326,8일,DT
4008,민노당,OG
3107,김선우,PS
7876,공주시,LC
8425,보잉,OG
404,박찬호,PS
6852,윤현숙,PS
8435,작년,DT
4479,중앙관세분석소,OG
3374,5월부터,DT
5241,화성,LC
9064,오는 12월,DT
6134,이,PS
4781,서울,LC
5094,이,PS
9626,정부,OG
9681,일본해,LC
542,LG,OG
42,내일,TOMM
4971,김,PS
138,발락,PS
265,전남,OG
6535,2일부터,DT
4304,그림자,PS
3233,매년,DT
6596,정부,OG
2780,추신수,PS
8346,올해,DT
7681,김상식,PS
1551,카메룬,LC
5732,서울시,LC
22,8일,DT
3863,2월 3일,DT
3556,조동인,PS
9828,블룸버그통신,OG
2347,캐나다,LC
6695,오는 4~7일까지,DT
499,신치용,PS
6388,1년,DT
522,로즈,PS
5159,용인경찰서,OG
9535,스코틀랜드,LC
2456,한양MTB,OG
4570,10년 동안,DT
7699,올해,DT
1758,오전,TI
2185,당일,DT
8987,27일,DT
692,오는 5월,DT
5640,제주,LC
8744,오전 10시,TI
6866,9일,DT
3312,2009년,DT
1341,아르헨티나,LC
9496,31일,DT
9373,월남,LC
6590,모하메드,PS
1994,지리산,LC
2050,2008. 12. 30일,DT
3267,차동민,PS
6849,지난해부터,DT
3124,요미우리,OG
5579,일요일,DT
4509,하원 금융서비스위원회,OG
4924,장한섬,PS
